"Country","Informal_Economy_Indicator","score_global_du_projet","score_du_projet_CBDC_de_detail","score_du_projet_CBDC_de_gros","interet_de_recherche_normalise","Indice_des_discours_des_banquiers_centraux_normalise","interet_de_recherche","indice_de_position_des_banquiers_centraux","Classement_general_de_l_indice","Classement_de_la_valeur_des_services_centralises_recus","Classement_de_la_valeur_des_services_centralises_reçus_dans_le_commerce_de_detail","Classement_du_volume_d_echange_pair_a_pair_P2P","Classement_de_la_valeur_recue_en_DeFi","Classement_de_la_valeur_reçue_en_DeFi_de_detail","Global Innovation Index: Global Innovation Index","Mobile cellular subscriptions (per 100 people)","Trade (% of GDP)","I_E_DGE"
"Bahrain",22.4,1,1,0,-0.685964046956471,-0.365377127548227,0,0,14.2857142857143,11.7647058823529,7.84313725490196,8.49673202614379,20.9150326797386,20.9150326797386,27.9,145.4432145,NA,14.5
"Bangladesh",34,1,1,0,0.276789853380712,-0.365377127548227,6.11654135338346,0,89.6103896103896,88.8888888888889,88.2352941176471,79.0849673202614,86.2745098039216,86.2745098039216,19.7,105.2642491,33.7799672705735,25.7
"Barbados",NA,0,0,0,-0.685964046956471,-0.365377127548227,0,0,4.54545454545455,42.483660130719,60.7843137254902,22.8758169934641,1.96078431372549,1.96078431372549,NA,114.8585936,78.348055684699,23.9
"Belarus",43.1,0,0,0,1.2158743277723,-0.365377127548227,12.0827067669173,0,72.0779220779221,74.5098039215686,77.124183006536,60.7843137254902,73.8562091503268,73.8562091503268,27.5,123.4472552,121.582869146279,36.8
"Belgium",22.1,0,0,0,1.45138511593099,-0.365377127548227,13.5789473684211,0,48.051948051948,52.2875816993464,47.0588235294118,32.0261437908497,51.6339869281046,51.6339869281046,46.9,101.8707731,193.092158876104,20.2
"Bolivia",64.2,0,0,0,-0.685964046956471,-0.365377127548227,0,0,49.3506493506493,60.1307189542484,64.7058823529412,58.8235294117647,28.1045751633987,28.1045751633987,23.4,NA,67.755898784076,54.9
"Bosnia and Herzegovina",31,0,0,0,-0.685964046956471,-0.365377127548227,0,0,18.8311688311688,29.4117647058824,20.2614379084967,6.5359477124183,22.8758169934641,22.8758169934641,28.5,117.8877485,110.282916123603,28.4
"Botswana",31,0,0,0,-0.685964046956471,-0.365377127548227,0,0,7.14285714285714,6.5359477124183,4.57516339869281,14.3790849673203,8.49673202614379,8.49673202614379,23.9,165.3049695,85.4670616297753,25.7
"Brazil",40,2,1,2,1.59931902809098,-0.365377127548227,14.5187969924812,0,94.8051948051948,94.7712418300653,93.4640522875817,90.8496732026144,93.4640522875817,93.4640522875817,32.5,98.89102076,39.3399913689093,33.4
"Brunei Darussalam",33.4,0,0,0,-0.685964046956471,-0.365377127548227,0,0,1.2987012987013,1.30718954248366,1.30718954248366,1.30718954248366,2.61437908496732,2.61437908496732,22.1,117.7551548,146.97396594152,28.5
